"disease","gene","expression"
"Influenza","TTK",4.567983663
"Influenza","CCNA2",5.939608514
"Influenza","BIRC5",5.49839701
"Influenza","BUB1B",4.532608247
"Influenza","KIF2C",4.12019249
"Influenza","MELK",4.83999495
"Influenza","TTK",4.832495976
"Influenza","CCNA2",4.865466868
"Influenza","BIRC5",4.227980367
"Influenza","BUB1B",4.894465022
"Influenza","KIF2C",5.666487978
"Influenza","MELK",3.818564793
"Healthy_Flu","TTK",4.698502716
"Healthy_Flu","CCNA2",4.795786677
"Healthy_Flu","BIRC5",4.469408914
"Healthy_Flu","BUB1B",4.370376409
"Healthy_Flu","KIF2C",4.561120415
"Healthy_Flu","MELK",4.677836347
"Influenza","TTK",4.321673099
"Influenza","CCNA2",5.372963006
"Influenza","BIRC5",4.760976948
"Influenza","BUB1B",4.840005543
